id,etiqueta,grupo,tipo,rango,default,osc,osc_norm,fuentes
particles.wrapTop,Margen fuera de cuadro (m),particles,float,0 .. 4,0.5,/p/particles/wrapTop,/pn/particles/wrapTop,
particles.emitSpread,Alto del emisor (m),particles,float,0 .. 2,0.4,/p/particles/emitSpread,/pn/particles/emitSpread,
particles.kickAmount,Golpe,particles,float,0 .. 3,1,/p/particles/kickAmount,/pn/particles/kickAmount,
particles.kickDecay,Caída del golpe (s),particles,float,0.05 .. 3,0.4,/p/particles/kickDecay,/pn/particles/kickDecay,
particles.localPushAmount,Empuje local,particles,float,0 .. 120,40,/p/particles/localPushAmount,/pn/particles/localPushAmount,
particles.localPushRadiusMin,Empuje radio mínimo (m),particles,float,0.2 .. 3,0.65,/p/particles/localPushRadiusMin,/pn/particles/localPushRadiusMin,
particles.localPushRadiusMax,Empuje radio máximo (m),particles,float,0.2 .. 4,1.5,/p/particles/localPushRadiusMax,/pn/particles/localPushRadiusMax,
particles.localPushDecay,Empuje caída (s),particles,float,0.05 .. 2,0.4,/p/particles/localPushDecay,/pn/particles/localPushDecay,
vortex.swirl,Torbellino giro (− = al revés),vortex,float,-30 .. 30,0,/p/vortex/swirl,/pn/vortex/swirl,
vortex.pull,Torbellino atracción (− = repele),vortex,float,-60 .. 60,0,/p/vortex/pull,/pn/vortex/pull,
vortex.lift,Torbellino ascenso,vortex,float,-2 .. 2,0,/p/vortex/lift,/pn/vortex/lift,
vortex.radius,Torbellino radio (m),vortex,float,0.2 .. 6,2,/p/vortex/radius,/pn/vortex/radius,
vortex.outwardDamping,Cohesión radial,vortex,float,0 .. 1,0,/p/vortex/outwardDamping,/pn/vortex/outwardDamping,
vortex.response,Transformación directa (1/s),vortex,float,0 .. 60,0,/p/vortex/response,/pn/vortex/response,
vortex.cutoff,Torbellino corte (× radio),vortex,float,0 .. 8,0,/p/vortex/cutoff,/pn/vortex/cutoff,
vortex.x,Torbellino X (m),vortex,float,-4 .. 4,0,/p/vortex/x,/pn/vortex/x,
vortex.z,Torbellino Z (m),vortex,float,-5 .. 0,-1.84,/p/vortex/z,/pn/vortex/z,
vortex.axis,Eje del torbellino,vortex,enum,y | x | z,y,/p/vortex/axis,/pn/vortex/axis,
vortex.y,Torbellino Y (m),vortex,float,0 .. 5,1.5,/p/vortex/y,/pn/vortex/y,
vortex.travelX,Paseo X (m),vortex,float,0 .. 4,0,/p/vortex/travelX,/pn/vortex/travelX,
vortex.travelZ,Paseo Z (m),vortex,float,0 .. 2,0,/p/vortex/travelZ,/pn/vortex/travelZ,
vortex.travelRate,Paseo (Hz),vortex,float,0 .. 0.5,0.05,/p/vortex/travelRate,/pn/vortex/travelRate,
vortex.strobe,Estrobo,vortex,float,0 .. 1,0,/p/vortex/strobe,/pn/vortex/strobe,
vortex.strobeRate,Estrobo (Hz),vortex,float,0.2 .. 40,10,/p/vortex/strobeRate,/pn/vortex/strobeRate,
vortex.strobeDuty,Estrobo duty,vortex,float,0.05 .. 0.95,0.4,/p/vortex/strobeDuty,/pn/vortex/strobeDuty,
field.amount,Campo fuerza,field,float,0 .. 6,0,/p/field/amount,/pn/field/amount,
field.align,Campo alineación (1/s),field,float,0 .. 12,0,/p/field/align,/pn/field/align,
field.scale,Campo escala,field,float,0.002 .. 0.06,0.012,/p/field/scale,/pn/field/scale,
field.speed,Campo velocidad,field,float,0 .. 3,0.35,/p/field/speed,/pn/field/speed,
field.sectors,Sectores,field,int,1 .. 5,3,/p/field/sectors,/pn/field/sectors,
field.variation,Variación entre sectores,field,float,0 .. 1,0.7,/p/field/variation,/pn/field/variation,
field.speedSpread,Dif. de velocidad,field,float,0 .. 1,0.5,/p/field/speedSpread,/pn/field/speedSpread,
fluids.audioMode,Audio del show (web = desde la página),fluids,enum,web | external,web,/p/fluids/audioMode,/pn/fluids/audioMode,
fluids.volume,Volumen del track,fluids,float,0 .. 1,1,/p/fluids/volume,/pn/fluids/volume,
fluids.gain,Ganancia de luz · Fluids,fluids,float,0.4 .. 2.5,1.25,/p/fluids/gain,/pn/fluids/gain,
fluids.supersample,Supersampling (2 = sin rayado),fluids,float,1 .. 2,2,/p/fluids/supersample,/pn/fluids/supersample,
fluids.live.emission,Emisión · motor libre (sin escena),fluids.live,float,0 .. 0.25,0.018,/p/fluids/live/emission,/pn/fluids/live/emission,
fluids.live.x,Emisor X · motor libre (sin escena),fluids.live,float,0 .. 1,0.5,/p/fluids/live/x,/pn/fluids/live/x,
fluids.live.y,Emisor Y · motor libre (sin escena),fluids.live,float,0 .. 1,0.5,/p/fluids/live/y,/pn/fluids/live/y,
fluids.live.hue,Color del emisor · motor libre (sin escena),fluids.live,float,0 .. 1,0,/p/fluids/live/hue,/pn/fluids/live/hue,
fluids.live.gravity,Gravedad · motor libre (sin escena),fluids.live,float,-1 .. 1,0,/p/fluids/live/gravity,/pn/fluids/live/gravity,
fluids.live.viscosity,Viscosidad · motor libre (sin escena),fluids.live,float,0 .. 1,0.5,/p/fluids/live/viscosity,/pn/fluids/live/viscosity,
fluids.live.cohesion,Cohesión · motor libre (sin escena),fluids.live,float,0 .. 1,0.5,/p/fluids/live/cohesion,/pn/fluids/live/cohesion,
fluids.live.light,Luz · motor libre (sin escena),fluids.live,float,0 .. 3,1,/p/fluids/live/light,/pn/fluids/live/light,
fluids.live.forceX,Fuerza X · motor libre (sin escena),fluids.live,float,-1 .. 1,0,/p/fluids/live/forceX,/pn/fluids/live/forceX,
fluids.live.forceY,Fuerza Y · motor libre (sin escena),fluids.live,float,-1 .. 1,0,/p/fluids/live/forceY,/pn/fluids/live/forceY,
fluids.seq.gravity,Gravedad (curva) · final reactivo (26),fluids.seq,float,-1 .. 1,0,/p/fluids/seq/gravity,/pn/fluids/seq/gravity,
fluids.seq.cohesion,Atasco (curva) · final reactivo (26),fluids.seq,float,0 .. 1,0.62,/p/fluids/seq/cohesion,/pn/fluids/seq/cohesion,
fluids.seq.viscosity,Viscosidad (curva) · final reactivo (26),fluids.seq,float,0 .. 1,1,/p/fluids/seq/viscosity,/pn/fluids/seq/viscosity,
fluids.seq.light,Luz de las partículas (curva) · final reactivo (26),fluids.seq,float,0 .. 1,1,/p/fluids/seq/light,/pn/fluids/seq/light,
fluids.seq.exposure,Exposición (curva) · final reactivo (26),fluids.seq,float,0 .. 2,1.2,/p/fluids/seq/exposure,/pn/fluids/seq/exposure,
fluids.seq.bodies,Cuerpos (curva) · final reactivo (26),fluids.seq,float,0 .. 1,0.15,/p/fluids/seq/bodies,/pn/fluids/seq/bodies,
fluids.seq.grid,"Losetas todas chicas (> 0,5) · final reactivo (26)",fluids.seq,float,0 .. 1,0,/p/fluids/seq/grid,/pn/fluids/seq/grid,
fluids.seq.mono,Monocromo · final reactivo (26),fluids.seq,float,0 .. 1,1,/p/fluids/seq/mono,/pn/fluids/seq/mono,
fluids.seq.tileLife,Vida de las losetas y del congelado (negras) · final reactivo (26),fluids.seq,float,0.25 .. 32,4,/p/fluids/seq/tileLife,/pn/fluids/seq/tileLife,
fluids.seq.amb,amb 1 sostenido → glow azul · final reactivo (26),fluids.seq,float,0 .. 1,0,/p/fluids/seq/amb,/pn/fluids/seq/amb,Cualquier nota ch11
fluids.seq.attract,atractor sostenido (canal 3) · final reactivo (26),fluids.seq,float,0 .. 1,0,/p/fluids/seq/attract,/pn/fluids/seq/attract,Cualquier nota ch3
scene.goto,Ir a escena,scene,accion,id de escena,,/a/scene/goto,,Nota 1 ch10 + Nota 2 ch10 + Nota 3 ch10 + Nota 4 ch10 + Nota 5 ch10 + Nota 6 ch10 + Nota 7 ch10 + Nota 8 ch10 + Nota 9 ch10 + Nota 10 ch10 + Nota 11 ch10 + Nota 12 ch10 + Nota 13 ch10 + Nota 14 ch10 + Nota 15 ch10 + Nota 16 ch10 + Nota 17 ch10 + Nota 18 ch10 + Nota 19 ch10 + Nota 20 ch10 + Nota 21 ch10 + Nota 22 ch10 + Nota 23 ch10 + Nota 24 ch10 + Nota 25 ch10 + Nota 26 ch10 + Nota 27 ch10 + Nota 28 ch10 + Nota 29 ch10
scene.next,Escena siguiente,scene,accion,,,/a/scene/next,,
scene.prev,Escena anterior,scene,accion,,,/a/scene/prev,,
warning.pulse,Pulso de fondo,warning,accion,,,/a/warning/pulse,,
warning.bgOff,Apagar fondo (1b),warning,accion,,,/a/warning/bgOff,,
warning.bgOn,Prender fondo,warning,accion,,,/a/warning/bgOn,,
grid.b1.toggle,Bloque 1 on/off,grid,accion,,,/a/grid/b1/toggle,,
grid.b1.flip,Bloque 1 invertir,grid,accion,,,/a/grid/b1/flip,,
grid.b1.nudge,Bloque 1 corrimiento,grid,accion,v | h | ambos | random | px,,/a/grid/b1/nudge,,
grid.b2.toggle,Bloque 2 on/off,grid,accion,,,/a/grid/b2/toggle,,
grid.b2.flip,Bloque 2 invertir,grid,accion,,,/a/grid/b2/flip,,
grid.b2.nudge,Bloque 2 corrimiento,grid,accion,v | h | ambos | random | px,,/a/grid/b2/nudge,,
grid.b3.toggle,Bloque 3 on/off,grid,accion,,,/a/grid/b3/toggle,,
grid.b3.flip,Bloque 3 invertir,grid,accion,,,/a/grid/b3/flip,,
grid.b3.nudge,Bloque 3 corrimiento,grid,accion,v | h | ambos | random | px,,/a/grid/b3/nudge,,
grid.b4.toggle,Bloque 4 on/off,grid,accion,,,/a/grid/b4/toggle,,
grid.b4.flip,Bloque 4 invertir,grid,accion,,,/a/grid/b4/flip,,
grid.b4.nudge,Bloque 4 corrimiento,grid,accion,v | h | ambos | random | px,,/a/grid/b4/nudge,,
grid.b5.toggle,Bloque 5 on/off,grid,accion,,,/a/grid/b5/toggle,,
grid.b5.flip,Bloque 5 invertir,grid,accion,,,/a/grid/b5/flip,,
grid.b5.nudge,Bloque 5 corrimiento,grid,accion,v | h | ambos | random | px,,/a/grid/b5/nudge,,
grid.toggleAll,Todas on/off,grid,accion,,,/a/grid/toggleAll,,
grid.visibilityRandom,Cambiar bloques visibles al azar,grid,accion,,,/a/grid/visibilityRandom,,Nota 0 ch1
grid.nudge,Corrimiento suave (todas),grid,accion,v | h | ambos | random | px,,/a/grid/nudge,,
grid.nudgeRandom,Corrimiento aleatorio por bloques,grid,accion,,,/a/grid/nudgeRandom,,Cualquier nota ch6 + Nota 41 ch2
grid.randomize,Offsets al azar (suave),grid,accion,,,/a/grid/randomize,,
grid.offsetReset,Volver los offsets a cero,grid,accion,,,/a/grid/offsetReset,,
grid.reveal,Cargar grilla,grid,accion,duración en s (opcional),,/a/grid/reveal,,
grid.reveal.cancel,Completar carga de grilla,grid,accion,,,/a/grid/reveal/cancel,,
sweep.blue,Barrido azul (6),sweep,accion,random | 1..5,,/a/sweep/blue,,Nota 48 ch8 + Nota 44 ch2
sweep.white,Barrido blanco (6b),sweep,accion,random | 1..5,,/a/sweep/white,,Nota 51 ch8 + Nota 39 ch2
sweep.solid,Bloque sólido (6c),sweep,accion,random | 1..5,,/a/sweep/solid,,Nota 24 ch4 + Nota 36 ch7
line.strike,Disparar línea,line,accion,edge | center | random | px,,/a/line/strike,,Nota 33 ch4
line.flip,Invertir sentido (2b),line,accion,,,/a/line/flip,,Nota 36 ch2
line.rotate,Girar 90°,line,accion,,,/a/line/rotate,,
line.hide,Apagar línea,line,accion,,,/a/line/hide,,
floor.reveal,Extender piso,floor,accion,,,/a/floor/reveal,,
floor.hide,Retraer piso,floor,accion,,,/a/floor/hide,,
box.grow,Crecer desde la base,box,accion,,,/a/box/grow,,
orb.flash,Aparecer,orb,accion,,,/a/orb/flash,,
ray.spawn,Disparar rayo,rays,accion,random | left | center | right | número,,/a/ray/spawn,,Nota 0 ch1
particles.colorFlip,Alternar color,particles,accion,,,/a/particles/colorFlip,,
particles.colorKickRandom,Kick rojo/azul/negro,particles,accion,,,/a/particles/colorKickRandom,,Nota 0 ch1
particles.resetInBox,Reubicar en la caja,particles,accion,,,/a/particles/resetInBox,,
particles.fillColumn,Llenar la columna de flujo,particles,accion,,,/a/particles/fillColumn,,
particles.kick,Golpe de turbulencia,particles,accion,,,/a/particles/kick,,Nota 0 ch1
particles.localPush,Empujar zona al azar,particles,accion,,,/a/particles/localPush,,Nota 43 ch2
vortex.axisFlipXY,Alternar eje Y/X,vortex,accion,,,/a/vortex/axisFlipXY,,Nota 0 ch1
fluids.arm,Preparar motor Fluids,fluids,accion,,,/a/fluids/arm,,
fluids.standby,Previa · escena 24,fluids,accion,,,/a/fluids/standby,,
fluids.play,Play · escena 25,fluids,accion,,,/a/fluids/play,,
fluids.pause,Pausa · escena 25,fluids,accion,,,/a/fluids/pause,,
fluids.restart,Reiniciar · escena 25,fluids,accion,,,/a/fluids/restart,,
fluids.seek,Buscar · escena 25,fluids,accion,segundos,,/a/fluids/seek,,
fluids.live,Final reactivo · escena 26,fluids,accion,,,/a/fluids/live,,
fluids.live.burst,Ráfaga · motor libre,fluids.live,accion,cantidad de partículas,,/a/fluids/live/burst,,
fluids.live.attractor,Atractor · motor libre,fluids.live,accion,,,/a/fluids/live/attractor,,
fluids.live.reset,Reiniciar fluido · motor libre,fluids.live,accion,,,/a/fluids/live/reset,,
fluids.seq.pulse,Pulso · flash + empujón desde el centro · final reactivo (26),fluids.seq,accion,,,/a/fluids/seq/pulse,,Nota 0 ch1
fluids.seq.strobe,Relámpago · sortea y destella las 4 losetas emisivas · final reactivo (26),fluids.seq,accion,,,/a/fluids/seq/strobe,,Nota 2 ch1
fluids.seq.step,Paso cruzado de las losetas · segundo kick · final reactivo (26),fluids.seq,accion,,,/a/fluids/seq/step,,Nota 2 ch1
fluids.seq.tile,Loseta · 50 cm o 1 m según la serie · final reactivo (26),fluids.seq,accion,,,/a/fluids/seq/tile,,Nota 4 ch1
fluids.seq.tileBig,Loseta · 1 m · final reactivo (26),fluids.seq,accion,,,/a/fluids/seq/tileBig,,Nota 40 ch2
fluids.seq.sweep,Barrido de sombra · final reactivo (26),fluids.seq,accion,,,/a/fluids/seq/sweep,,Nota 38 ch2
fluids.seq.crack,Fractura en el centro de masa · final reactivo (26),fluids.seq,accion,,,/a/fluids/seq/crack,,Nota 39 ch2 + Nota 49 ch2
fluids.seq.dark,"Apagón 0,3 s · final reactivo (26)",fluids.seq,accion,,,/a/fluids/seq/dark,,Nota 47 ch2
fluids.seq.freeze,Congelar el fluido (vida de loseta) · final reactivo (26),fluids.seq,accion,,,/a/fluids/seq/freeze,,Nota 45 ch2
fluids.seq.flip,Sortear qué losetas emiten (sin destello) · final reactivo (26),fluids.seq,accion,,,/a/fluids/seq/flip,,Nota 38 ch2
fluids.seq.clear,Borrar losetas · final reactivo (26),fluids.seq,accion,,,/a/fluids/seq/clear,,
fluids.seq.reset,Vaciar el fluido · final reactivo (26),fluids.seq,accion,,,/a/fluids/seq/reset,,
